Symbol,,Price~,Type,Strike,Expires,DTE,Bid x Size,Ask x Size,Trade,Size,Side,Premium,Volume,Open Int,IV,Delta,Code,*,Time
APLD,,13.9965,Call,30,2026-01-16T16:30:00-06:00,169,0.91 x 249,0.92 x 21,0.91,249,bid,22600,3490,539,98.61%,0.2205478678,AUTO,N/A,10:12:08 ET
APLD,,13.9965,Call,14.5,2025-08-01T16:30:00-05:00,1,0.32 x 121,0.39 x 10,0.36,200,mid,7200,2194,2758,183.12%,0.374626398,AUTO,N/A,10:14:38 ET
APLD,,13.9965,Call,20,2025-08-29T16:30:00-05:00,29,0.27 x 1020,0.39 x 434,0.31,168,mid,5200,232,3,104.06%,0.1448842239,SLAN,ToOpen,10:13:08 ET
APLD,,13.9965,Call,16,2025-08-29T16:30:00-05:00,29,0.77 x 74,0.84 x 205,0.81,450,mid,36400,538,27,106.10%,0.387290232,SLAN,ToOpen,10:13:08 ET
APLD,,13.9965,Call,12,2025-08-15T16:30:00-05:00,15,2.23 x 5,2.30 x 111,2.25,225,mid,50600,7622,12330,89.24%,0.8292157759,SLAN,N/A,10:13:08 ET
APLD,,13.9412,Call,13,2025-08-15T16:30:00-05:00,15,1.50 x 796,1.65 x 280,1.65,280,ask,46200,2016,5125,94.50%,0.6808218026,AUTO,N/A,10:16:18 ET
APLD,,13.9412,Call,11.5,2025-08-15T16:30:00-05:00,15,2.62 x 79,2.70 x 98,2.62,200,bid,52400,2606,3310,99.68%,0.8560184106,MLFT,N/A,10:17:12 ET
APLD,,13.9412,Call,12,2025-08-15T16:30:00-05:00,15,2.23 x 106,2.33 x 44,2.25,200,mid,45000,8269,12330,100.50%,0.8014089487,MLFT,N/A,10:17:12 ET
APLD,,13.8798,Call,15,2025-08-15T16:30:00-05:00,15,0.72 x 7,0.75 x 147,0.75,196,ask,14700,4881,19753,104.78%,0.4009495749,SLAN,N/A,09:55:38 ET
APLD,,13.8798,Call,30,2026-01-16T16:30:00-06:00,169,0.92 x 27,0.98 x 10,0.96,250,mid,24000,1434,539,100.59%,0.2254009622,SLAN,N/A,09:55:36 ET
APLD,,13.8798,Call,13,2025-11-21T16:30:00-06:00,113,3.20 x 187,3.25 x 39,3.2,310,bid,99200,1586,855,90.00%,0.6585438613,AUTO,N/A,09:51:58 ET
APLD,,13.8798,Call,11,2025-08-29T16:30:00-05:00,29,2.91 x 411,3.15 x 199,3.15,199,ask,62600,859,1038,83.83%,0.8679790242,AUTO,N/A,09:53:36 ET
APLD,,13.8798,Call,13,2025-11-21T16:30:00-06:00,113,3.05 x 307,3.25 x 56,3.2,187,mid,59800,1586,855,90.00%,0.6585438613,AUTO,N/A,09:52:02 ET
APLD,,13.875,Call,12,2025-08-15T16:30:00-05:00,15,2.18 x 184,2.22 x 311,2.18,184,bid,40100,7173,12330,99.60%,0.7964177467,AUTO,N/A,10:08:25 ET
APLD,,13.875,Call,14,2025-10-17T16:30:00-05:00,78,2.20 x 17,2.32 x 185,2.32,185,ask,42900,815,1521,92.86%,0.5853042823,AUTO,N/A,10:09:27 ET
APLD,,13.865,Call,13.5,2025-08-01T16:30:00-05:00,1,0.65 x 363,0.70 x 300,0.7,300,ask,21000,8037,4517,202.54%,0.620127851,AUTO,N/A,09:59:26 ET
APLD,,13.865,Call,30,2026-01-16T16:30:00-06:00,169,0.92 x 200,0.93 x 592,0.92,200,bid,18400,2775,539,100.71%,0.2254385493,AUTO,N/A,09:57:19 ET
APLD,,13.865,Call,30,2026-01-16T16:30:00-06:00,169,0.92 x 200,0.93 x 318,0.92,200,bid,18400,2775,539,100.71%,0.2254385493,AUTO,N/A,09:57:26 ET
APLD,,13.865,Call,30,2026-01-16T16:30:00-06:00,169,0.90 x 56,0.92 x 41,0.91,200,mid,18200,2775,539,100.71%,0.2254385493,AUTO,N/A,09:57:39 ET
APLD,,13.865,Call,12,2025-08-15T16:30:00-05:00,15,2.01 x 367,2.08 x 50,2.03,200,mid,40500,6273,12330,94.26%,0.8053808089,SLAN,N/A,09:59:20 ET
APLD,,13.865,Call,13,2025-11-21T16:30:00-06:00,113,3.15 x 5,3.50 x 1906,3.25,244,mid,79300,1836,855,92.11%,0.6586042363,AUTO,N/A,09:57:39 ET
APLD,,13.86,Call,11.5,2025-08-15T16:30:00-05:00,15,2.30 x 192,2.48 x 8,2.3,250,bid,57500,1919,3310,88.30%,0.8733400912,AUTO,N/A,10:05:19 ET
APLD,,13.86,Call,13,2025-09-19T16:30:00-05:00,50,2.08 x 250,2.15 x 5,2.08,250,bid,52000,1595,3416,86.66%,0.647575994,AUTO,N/A,10:04:48 ET
APLD,,13.86,Call,14,2025-10-17T16:30:00-05:00,78,2.22 x 400,2.37 x 793,2.22,171,bid,37900,600,1521,91.21%,0.5828226535,AUTO,N/A,10:07:39 ET
APLD,,13.86,Call,14,2025-08-01T16:30:00-05:00,1,0.35 x 25,0.48 x 98,0.4,200,mid,8000,8812,3657,184.48%,0.4782296639,AUTO,N/A,10:04:48 ET
APLD,,13.86,Call,9.5,2025-08-01T16:30:00-05:00,1,4.00 x 250,4.30 x 1,4,175,bid,70000,658,825,543.39%,0.9293186909,AUTO,N/A,10:05:19 ET
APLD,,13.86,Call,11,2025-08-08T16:30:00-05:00,8,2.60 x 1761,2.70 x 1,2.6,199,bid,51700,2833,5876,75.54%,0.9834447594,AUTO,N/A,10:06:07 ET
APLD,,13.86,Call,14,2025-08-01T16:30:00-05:00,1,0.49 x 784,0.50 x 209,0.5,200,ask,10000,8812,3657,184.48%,0.4782296639,AUTO,N/A,10:07:03 ET
APLD,,13.86,Call,10,2025-08-08T16:30:00-05:00,8,3.55 x 22,3.80 x 1,3.55,250,bid,88700,1142,2112,94.84%,0.9918345499,AUTO,N/A,10:05:19 ET
APLD,,13.86,Call,11,2025-08-08T16:30:00-05:00,8,2.63 x 250,2.64 x 16,2.63,250,bid,65700,2833,5876,75.54%,0.9834447594,AUTO,N/A,10:05:19 ET
APLD,,13.825,Put,12,2025-08-08T16:30:00-05:00,8,0.16 x 27,0.18 x 334,0.18,408,ask,7300,1121,268,102.01%,-0.1541858083,AUTO,N/A,12:26:29 ET
APLD,,13.825,Call,15,2025-08-08T16:30:00-05:00,8,0.42 x 250,0.43 x 108,0.42,250,bid,10500,3122,965,105.12%,0.3298441148,AUTO,N/A,12:24:47 ET
APLD,,13.8226,Put,9,2025-10-17T16:30:00-05:00,78,0.36 x 399,0.43 x 100,0.36,399,bid,14300,3345,1041,91.41%,-0.1062947846,AUTO,N/A,10:30:35 ET
APLD,,13.8226,Put,9,2025-10-17T16:30:00-05:00,78,0.36 x 516,0.43 x 110,0.36,506,bid,18200,3345,1041,91.41%,-0.1062947846,AUTO,N/A,10:30:50 ET
APLD,,13.8226,Put,9,2025-10-17T16:30:00-05:00,78,0.36 x 185,0.43 x 43,0.36,1234,bid,44400,3345,1041,91.41%,-0.1062947846,AUTO,N/A,10:30:46 ET
APLD,,13.8226,Put,14,2025-08-01T16:30:00-05:00,1,0.63 x 33,0.81 x 946,0.8,200,mid,16000,636,104,188.59%,-0.5314424955,AUTO,N/A,10:30:59 ET
APLD,,13.8226,Put,9,2025-10-17T16:30:00-05:00,78,0.35 x 189,0.43 x 82,0.36,188,mid,6700,3345,1041,91.41%,-0.1062947846,AUTO,N/A,10:30:42 ET
APLD,,13.8226,Call,15,2025-08-01T16:30:00-05:00,1,0.15 x 4,0.17 x 93,0.16,534,mid,8500,10444,5084,196.55%,0.2290210957,AUTO,N/A,10:29:44 ET
APLD,,13.805,Call,13.5,2025-08-01T16:30:00-05:00,1,0.60 x 100,0.69 x 615,0.69,391,ask,26900,10459,4517,165.25%,0.6190350433,AUTO,N/A,10:44:57 ET
APLD,,13.805,Call,11,2025-08-01T16:30:00-05:00,1,2.68 x 481,2.79 x 12,2.73,200,mid,54600,3978,6880,275.58%,0.9502882414,SLAN,N/A,10:46:03 ET
APLD,,13.801,Put,13,2025-09-19T16:30:00-05:00,50,1.32 x 200,1.33 x 88,1.32,200,bid,26400,946,995,87.55%,-0.3589805827,AUTO,N/A,12:33:03 ET
APLD,,13.801,Put,13,2025-08-08T16:30:00-05:00,8,0.45 x 191,0.45 x 9,0.45,191,ask,8500,4593,93,98.67%,-0.3127822266,AUTO,N/A,12:32:37 ET
APLD,,13.7883,Call,14,2025-08-15T16:30:00-05:00,15,0.97 x 200,1.01 x 36,0.97,199,bid,19300,6974,5767,97.33%,0.5121391734,AUTO,N/A,12:30:38 ET
APLD,,13.785,Call,18,2025-08-15T16:30:00-05:00,15,0.21 x 3,0.22 x 420,0.22,395,ask,8600,607,1034,113.02%,0.1486536509,AUTO,N/A,12:37:52 ET
APLD,,13.785,Call,30,2026-03-20T16:30:00-05:00,232,1.29 x 193,1.29 x 545,1.29,193,ask,24800,222,361,96.59%,0.2778277396,AUTO,N/A,12:36:28 ET
APLD,,13.785,Call,10,2026-01-16T16:30:00-06:00,169,5.05 x 846,5.15 x 200,5.15,200,ask,103000,2632,9946,86.43%,0.8091460777,AUTO,N/A,10:38:17 ET
APLD,,13.785,Call,14,2025-08-15T16:30:00-05:00,15,0.98 x 8,0.99 x 260,0.98,260,bid,25400,5614,5767,97.93%,0.5120676804,AUTO,N/A,10:39:52 ET
APLD,,13.785,Call,13,2025-10-17T16:30:00-05:00,78,2.67 x 177,2.75 x 400,2.75,400,ask,110000,862,1805,91.74%,0.6451795633,AUTO,N/A,12:36:58 ET
APLD,,13.785,Call,14,2025-08-15T16:30:00-05:00,15,0.94 x 8,0.98 x 70,0.98,225,ask,22000,5614,5767,97.93%,0.5120676804,AUTO,N/A,10:38:04 ET
APLD,,13.7153,Call,10,2026-01-16T16:30:00-06:00,169,5.05 x 1132,5.30 x 13,5.2,280,mid,145600,2226,9946,92.10%,0.8023886073,AUTO,N/A,10:35:29 ET
APLD,,13.712,Call,12,2025-08-15T16:30:00-05:00,15,1.85 x 51,1.98 x 1,1.95,300,mid,58500,5413,12330,96.97%,0.7840234952,AUTO,N/A,09:48:30 ET
APLD,,13.712,Call,14.5,2025-08-08T16:30:00-05:00,8,0.47 x 28,0.54 x 51,0.53,616,mid,32600,1192,256,110.10%,0.3991441561,AUTO,N/A,09:49:15 ET
APLD,,13.712,Call,13,2025-11-21T16:30:00-06:00,113,3.15 x 496,3.20 x 500,3.2,499,ask,159600,1086,855,93.88%,0.6515355871,AUTO,N/A,09:51:26 ET
APLD,,13.712,Call,20,2026-01-16T16:30:00-06:00,169,1.80 x 417,1.90 x 6,1.8,296,bid,53200,687,11715,93.68%,0.404606391,ISOI,N/A,09:51:36 ET
APLD,,13.712,Call,14,2025-08-01T16:30:00-05:00,1,0.50 x 250,0.51 x 79,0.5,250,bid,12500,6078,3657,218.89%,0.4510000524,AUTO,N/A,09:51:15 ET
APLD,,13.712,Put,12.5,2025-08-08T16:30:00-05:00,8,0.36 x 10,0.58 x 2048,0.39,200,mid,7800,535,8,119.89%,-0.2693232941,AUTO,N/A,09:51:03 ET
APLD,,13.712,Call,15,2025-08-15T16:30:00-05:00,15,0.66 x 1,0.70 x 120,0.67,200,mid,13400,4387,19753,106.24%,0.3817085235,AUTO,N/A,09:50:27 ET
APLD,,13.712,Call,13.5,2025-08-01T16:30:00-05:00,1,0.60 x 744,0.62 x 200,0.62,200,ask,12400,6539,4517,206.74%,0.5789528609,AUTO,N/A,09:49:38 ET
APLD,,13.712,Call,17,2025-08-15T16:30:00-05:00,15,0.31 x 1140,0.39 x 491,0.35,200,mid,7000,776,2178,115.45%,0.2136197502,MLET,N/A,09:48:31 ET
APLD,,13.712,Call,11.5,2025-08-15T16:30:00-05:00,15,2.25 x 494,2.37 x 62,2.29,194,mid,44400,1017,3310,77.62%,0.8864950127,MLET,N/A,09:48:50 ET
APLD,,13.712,Call,12,2025-08-15T16:30:00-05:00,15,1.91 x 176,1.95 x 4,1.95,194,ask,37800,5413,12330,96.97%,0.7840234952,MLET,N/A,09:48:50 ET
APLD,,13.712,Call,4,2025-12-19T16:30:00-06:00,141,9.30 x 102,9.65 x 872,9.38,180,mid,168800,209,213,124.36%,0.9773840744,SLAN,N/A,09:49:30 ET
APLD,,13.705,Call,15,2025-08-01T16:30:00-05:00,1,0.20 x 152,0.20 x 793,0.2,998,ask,19900,9377,5084,199.24%,0.208214444,AUTO,N/A,10:25:05 ET
APLD,,13.705,Call,15,2025-08-01T16:30:00-05:00,1,0.17 x 145,0.20 x 6658,0.2,511,ask,10200,9377,5084,199.24%,0.208214444,AUTO,N/A,10:24:56 ET
APLD,,13.705,Call,15,2025-08-15T16:30:00-05:00,15,0.65 x 847,0.67 x 11,0.65,225,bid,14600,6798,19753,102.70%,0.3740648685,SLAN,N/A,10:26:56 ET
APLD,,13.705,Put,13,2025-08-01T16:30:00-05:00,1,0.19 x 49,0.21 x 850,0.21,244,ask,5100,3955,46,177.69%,-0.2690977104,ISOI,N/A,10:25:51 ET
APLD,,13.705,Call,12,2025-08-15T16:30:00-05:00,15,2.09 x 349,2.16 x 196,2.16,196,ask,42300,8778,12330,102.48%,0.7739813516,AUTO,N/A,10:24:33 ET
APLD,,13.705,Call,11,2025-08-08T16:30:00-05:00,8,2.83 x 7,2.85 x 166,2.85,166,ask,47300,3176,5876,95.74%,0.9483161468,AUTO,N/A,10:21:44 ET
APLD,,13.7033,Put,13,2025-08-08T16:30:00-05:00,8,0.44 x 90,0.53 x 341,0.49,990,mid,48500,2925,93,101.20%,-0.3328592274,SLAN,N/A,11:03:52 ET
APLD,,13.685,Call,15,2025-10-17T16:30:00-05:00,78,1.82 x 548,1.96 x 200,1.96,500,ask,98000,1775,3759,94.78%,0.5123392052,AUTO,N/A,12:22:36 ET
APLD,,13.6712,Call,11.5,2025-08-15T16:30:00-05:00,15,2.24 x 3446,2.62 x 763,2.33,200,mid,46600,1632,3310,99.40%,0.8334668247,MLFT,N/A,10:03:33 ET
APLD,,13.6712,Call,13.5,2025-08-01T16:30:00-05:00,1,0.70 x 179,0.82 x 1,0.69,388,bid,26700,9022,4517,193.73%,0.569918246,ISOI,N/A,10:01:20 ET
APLD,,13.6712,Call,15,2025-08-15T16:30:00-05:00,15,0.72 x 125,0.73 x 195,0.73,195,ask,14200,5869,19753,105.81%,0.3756243516,AUTO,N/A,10:00:23 ET
APLD,,13.6712,Call,12,2025-08-15T16:30:00-05:00,15,2.00 x 682,2.23 x 813,2,200,bid,40000,6748,12330,95.98%,0.7813075811,MLFT,N/A,10:03:33 ET
APLD,,13.6712,Call,12,2025-08-15T16:30:00-05:00,15,2.16 x 224,2.25 x 1,2.24,175,mid,39200,6748,12330,95.98%,0.7813075811,MLFT,N/A,10:00:22 ET
APLD,,13.6712,Call,11.5,2025-08-15T16:30:00-05:00,15,2.55 x 318,2.67 x 103,2.55,175,bid,44600,1632,3310,99.40%,0.8334668247,MLFT,N/A,10:00:22 ET
APLD,,13.6712,Call,11.5,2025-08-01T16:30:00-05:00,1,2.37 x 15,2.46 x 15,2.45,231,mid,56500,2468,4492,264.30%,0.9066251135,AUTO,N/A,10:01:23 ET
APLD,,13.645,Call,11,2025-08-15T16:30:00-05:00,15,2.68 x 1359,2.75 x 205,2.75,200,ask,55000,3349,11849,80.64%,0.9208545188,AUTO,N/A,11:19:32 ET
APLD,,13.645,Call,13.5,2025-08-08T16:30:00-05:00,8,0.86 x 2,0.87 x 1,0.87,300,ask,26100,6152,1672,97.26%,0.5607191054,SLAN,N/A,11:19:58 ET
APLD,,13.645,Call,7,2026-06-18T16:30:00-05:00,322,6.55 x 346,7.75 x 28,6.5,197,bid,128000,439,854,85.63%,0.8996276932,AUTO,N/A,11:16:26 ET
APLD,,13.618,Call,14,2025-08-01T16:30:00-05:00,1,0.26 x 3,0.27 x 256,0.26,512,bid,13300,17532,3657,161.57%,0.3883953098,AUTO,N/A,11:12:13 ET
APLD,,13.618,Call,14,2025-08-01T16:30:00-05:00,1,0.23 x 117,0.26 x 50,0.25,309,mid,7700,17532,3657,161.57%,0.3883953098,AUTO,N/A,11:12:09 ET
APLD,,13.618,Call,14,2025-08-01T16:30:00-05:00,1,0.24 x 88,0.25 x 973,0.25,860,ask,21500,17532,3657,161.57%,0.3883953098,AUTO,N/A,11:12:07 ET
APLD,,13.599,Call,7,2026-01-16T16:30:00-06:00,169,7.00 x 564,7.10 x 25,7.01,197,mid,138000,1308,5506,84.52%,0.9302906436,MLET,N/A,11:25:35 ET
APLD,,13.599,Call,7,2026-01-16T16:30:00-06:00,169,7.00 x 8,7.05 x 156,7.01,314,mid,220100,1308,5506,84.52%,0.9302906436,MLET,N/A,11:25:37 ET
APLD,,13.599,Call,9,2025-08-01T16:30:00-05:00,1,4.55 x 423,4.65 x 11,4.6,195,mid,89600,706,2296,0.00%,0,AUTO,N/A,11:24:25 ET
APLD,,13.599,Call,21,2026-01-16T16:30:00-06:00,169,1.60 x 70,1.66 x 696,1.63,197,mid,32100,1369,3031,94.19%,0.3723362069,MLET,N/A,11:25:35 ET
APLD,,13.599,Call,21,2026-01-16T16:30:00-06:00,169,1.57 x 30,1.66 x 137,1.63,299,mid,48700,1369,3031,94.19%,0.3723362069,AUTO,N/A,11:26:14 ET
APLD,,13.599,Call,13,2025-08-08T16:30:00-05:00,8,1.06 x 295,1.18 x 445,1.09,200,mid,21800,3485,1761,94.28%,0.6551898463,AUTO,N/A,11:24:23 ET
APLD,,13.599,Call,21,2026-01-16T16:30:00-06:00,169,1.60 x 23,1.66 x 1016,1.63,314,mid,51100,1369,3031,94.19%,0.3723362069,MLET,N/A,11:25:37 ET
APLD,,13.575,Call,15,2025-10-17T16:30:00-05:00,78,1.90 x 5,1.96 x 365,1.93,170,mid,32800,1195,3759,95.82%,0.5068388363,AUTO,N/A,11:22:12 ET
APLD,,13.555,Put,13,2025-08-01T16:30:00-05:00,1,0.25 x 201,0.29 x 230,0.25,200,bid,5000,7818,46,164.24%,-0.2978581953,AUTO,N/A,12:16:19 ET
APLD,,13.555,Call,14.5,2025-08-01T16:30:00-05:00,1,0.15 x 219,0.19 x 152,0.19,500,ask,9500,8976,2758,173.70%,0.243658177,SLAN,N/A,12:17:36 ET
APLD,,13.555,Call,12.5,2025-08-01T16:30:00-05:00,1,0.99 x 347,1.10 x 26,1.09,199,mid,21600,3113,5612,155.37%,0.8504995996,TLET,N/A,12:16:11 ET
APLD,,13.545,Put,14,2025-08-01T16:30:00-05:00,1,0.72 x 17,0.76 x 8,0.76,310,ask,23500,1767,104,174.26%,-0.6238880707,AUTO,N/A,13:18:41 ET
APLD,,13.525,Put,14,2025-08-01T16:30:00-05:00,1,0.61 x 44,0.68 x 517,0.68,285,ask,19300,1448,104,160.13%,-0.6439201042,AUTO,N/A,13:08:17 ET
APLD,,13.5,Call,11,2025-08-08T16:30:00-05:00,8,2.34 x 162,2.43 x 15,2.38,495,mid,117800,3977,5876,97.00%,0.9337844491,MLAT,N/A,11:44:47 ET
APLD,,13.5,Call,11,2025-08-15T16:30:00-05:00,15,2.46 x 115,2.52 x 10,2.48,495,mid,122700,3941,11849,87.61%,0.8947242018,MLAT,N/A,11:44:47 ET
APLD,,13.485,Put,13,2025-08-01T16:30:00-05:00,1,0.22 x 53,0.24 x 131,0.22,300,bid,6600,8604,46,159.63%,-0.3150941471,AUTO,N/A,12:49:08 ET
